1;(1455, 1321, 1358, 1197);(0.866, 0.786, 0.808, 0.712);(41.004, 38.904);(0.482, 0.48);(3649908.901, 2988475.21);(0.077, 0.063)
2;(1390, 1190, 1211, 1235);(0.827, 0.708, 0.721, 0.735);(40.351, 39.264);(0.475, 0.485);(3061097.476, 2837493.108);(0.065, 0.06)
3;(1163, 1496, 1217, 1291);(0.692, 0.89, 0.724, 0.768);(42.864, 39.403);(0.504, 0.486);(3727996.081, 2780460.687);(0.079, 0.059)
4;(1148, 1255, 1167, 1219);(0.683, 0.747, 0.695, 0.726);(42.014, 39.457);(0.494, 0.487);(3350686.063, 2611308.432);(0.071, 0.055)
5;(1209, 1479, 1229, 1751);(0.72, 0.88, 0.732, 1.042);(43.557, 41.101);(0.512, 0.507);(3810452.593, 2950696.669);(0.08, 0.062)
6;(1174, 1423, 1186, 1711);(0.699, 0.847, 0.706, 1.018);(43.309, 40.999);(0.51, 0.506);(3812526.827, 2913831.993);(0.08, 0.061)
7;(1748, 1485, 1646, 1574);(0.832, 0.707, 0.784, 0.75);(40.69, 50.316);(0.484, 0.498);(4032849.753, 5509511.619);(0.056, 0.077)
8;(1605, 1868, 1552, 1835);(0.764, 0.89, 0.739, 0.874);(43.066, 49.4);(0.513, 0.489);(4478599.69, 6160178.2);(0.062, 0.086)
9;(1597, 1813, 1462, 1792);(0.76, 0.863, 0.696, 0.853);(43.155, 48.883);(0.514, 0.484);(4455628.943, 5685470.405);(0.062, 0.079)
10;(1704, 1778, 1557, 1631);(0.748, 0.78, 0.683, 0.716);(53.321, 41.876);(0.498, 0.481);(7330081.045, 4473435.71);(0.085, 0.052)
11;(1555, 1393, 1610, 1408);(0.882, 0.79, 0.913, 0.799);(40.219, 42.933);(0.485, 0.493);(3911299.545, 3782049.181);(0.075, 0.073)
12;(1275, 1190, 1158, 1358);(0.723, 0.675, 0.657, 0.77);(41.869, 42.986);(0.504, 0.494);(3035873.917, 3357037.016);(0.058, 0.064)
13;(1583, 1539, 1403, 1561);(0.742, 0.722, 0.658, 0.732);(41.385, 50.627);(0.499, 0.482);(3811051.677, 5918626.081);(0.05, 0.078)
14;(1265, 1564, 1307, 1396);(0.686, 0.848, 0.708, 0.757);(42.721, 44.448);(0.521, 0.488);(3438261.948, 4101762.111);(0.062, 0.074)
15;(1531, 2037, 1996, 1831);(0.647, 0.861, 0.844, 0.774);(44.04, 56.277);(0.512, 0.507);(4906484.152, 8290489.711);(0.054, 0.091)
16;(1564, 1359, 1488, 1333);(0.848, 0.737, 0.807, 0.722);(39.425, 43.761);(0.481, 0.486);(3499031.96, 3934565.331);(0.064, 0.072)
17;(1566, 1665, 1541, 1642);(0.712, 0.757, 0.7, 0.746);(49.857, 43.236);(0.494, 0.486);(5624334.04, 4644092.098);(0.07, 0.057)
18;(1670, 1717, 1726, 1774);(0.759, 0.78, 0.785, 0.806);(50.282, 44.021);(0.498, 0.495);(6555487.086, 4806695.073);(0.081, 0.059)
19;(1768, 1783, 2048, 1903);(0.725, 0.731, 0.84, 0.781);(45.26, 54.148);(0.492, 0.511);(5632428.575, 7608359.06);(0.059, 0.08)
20;(1481, 1484, 1475, 1472);(0.767, 0.768, 0.763, 0.762);(41.32, 45.381);(0.492, 0.493);(3367028.869, 4502730.882);(0.056, 0.075)
