"('С', 1.0)","('У', 0.964)","('Е', 0.917)","('Ү', 0.898)","('Т', 0.884)","('Ұ', 0.858)","('Г', 0.818)","('І', 0.808)","('Ғ', 0.784)","('Р', 0.782)","('Ё', 0.772)","('Қ', 0.753)","('Щ', 0.697)","('О', 0.679)","('Н', 0.677)","('Ц', 0.672)","('Ң', 0.67)","('Б', 0.655)","('К', 0.649)","('Һ', 0.642)","('Х', 0.64)","('П', 0.628)","('Ч', 0.628)","('Ъ', 0.623)","('Ө', 0.619)","('Я', 0.612)","('Л', 0.587)","('З', 0.583)","('Ю', 0.579)","('Д', 0.574)","('Ы', 0.562)","('М', 0.56)","('Ф', 0.558)","('Й', 0.552)","('Ж', 0.542)","('А', 0.536)","('В', 0.535)","('Ә', 0.52)","('Ь', 0.52)","('И', 0.519)","('Ш', 0.5)","('Э', 0.482)"
"('А', 1.0)","('Ұ', 0.998)","('Т', 0.992)","('О', 0.991)","('Д', 0.99)","('Ч', 0.989)","('Н', 0.985)","('Ү', 0.973)","('Ң', 0.95)","('Ц', 0.947)","('Щ', 0.923)","('С', 0.921)","('Р', 0.908)","('Е', 0.904)","('Х', 0.897)","('Ө', 0.885)","('П', 0.883)","('Л', 0.868)","('Я', 0.864)","('Қ', 0.861)","('Ё', 0.859)","('Ә', 0.829)","('У', 0.813)","('Ъ', 0.81)","('Б', 0.805)","('Э', 0.804)","('Ф', 0.798)","('Й', 0.796)","('К', 0.796)","('І', 0.795)","('Һ', 0.789)","('Ж', 0.786)","('М', 0.782)","('Ы', 0.766)","('Г', 0.755)","('Ғ', 0.749)","('В', 0.731)","('Ш', 0.728)","('Ю', 0.727)","('И', 0.723)","('З', 0.69)","('Ь', 0.655)"
"('Ғ', 1.0)","('Т', 0.948)","('Г', 0.924)","('С', 0.868)","('Ү', 0.845)","('Р', 0.819)","('У', 0.819)","('Е', 0.811)","('І', 0.811)","('Ё', 0.748)","('Ұ', 0.748)","('Қ', 0.707)","('Щ', 0.679)","('Ң', 0.675)","('Н', 0.665)","('О', 0.663)","('Ц', 0.653)","('Б', 0.645)","('К', 0.645)","('П', 0.635)","('Я', 0.63)","('Һ', 0.629)","('Ө', 0.625)","('Ч', 0.624)","('Х', 0.623)","('Ю', 0.614)","('Ъ', 0.608)","('Л', 0.59)","('Д', 0.587)","('З', 0.586)","('М', 0.583)","('Ы', 0.583)","('Й', 0.576)","('Ф', 0.576)","('В', 0.565)","('Ж', 0.56)","('И', 0.56)","('Ь', 0.546)","('А', 0.544)","('Ә', 0.543)","('Ш', 0.527)","('Э', 0.511)"
"('А', 1.0)","('Д', 0.998)","('О', 0.985)","('Ч', 0.984)","('Н', 0.962)","('Ц', 0.956)","('Ү', 0.949)","('Ң', 0.943)","('Ұ', 0.94)","('Т', 0.916)","('Щ', 0.895)","('Х', 0.865)","('Ө', 0.863)","('П', 0.862)","('Р', 0.861)","('Я', 0.852)","('С', 0.837)","('Л', 0.832)","('Е', 0.83)","('Ә', 0.817)","('Қ', 0.816)","('Э', 0.811)","('Ё', 0.799)","('Ф', 0.775)","('Й', 0.773)","('Ъ', 0.764)","('Б', 0.762)","('Ж', 0.761)","('М', 0.759)","('У', 0.758)","('К', 0.755)","('І', 0.748)","('Һ', 0.741)","('Ы', 0.733)","('В', 0.709)","('Ш', 0.709)","('Г', 0.704)","('Ғ', 0.704)","('И', 0.704)","('Ю', 0.694)","('Ь', 0.62)","('З', 0.578)"
"('Н', 1.0)","('Ө', 0.971)","('Щ', 0.965)","('Ц', 0.963)","('О', 0.962)","('П', 0.956)","('Ч', 0.88)","('М', 0.868)","('Д', 0.841)","('Ң', 0.839)","('Р', 0.829)","('В', 0.827)","('И', 0.824)","('Ұ', 0.823)","('Й', 0.815)","('Ф', 0.815)","('Х', 0.805)","('Л', 0.793)","('Ү', 0.772)","('Қ', 0.768)","('І', 0.763)","('Я', 0.761)","('К', 0.754)","('Ю', 0.752)","('Ә', 0.751)","('Ж', 0.745)","('Т', 0.742)","('Б', 0.737)","('Ы', 0.727)","('Э', 0.727)","('Ш', 0.723)","('Ё', 0.711)","('У', 0.698)","('Ғ', 0.694)","('Е', 0.693)","('З', 0.693)","('А', 0.689)","('Һ', 0.663)","('Ъ', 0.663)","('С', 0.66)","('Г', 0.647)","('Ь', 0.576)"
"('Д', 1.0)","('Л', 0.94)","('А', 0.821)","('Ә', 0.702)","('Э', 0.674)","('З', 0.647)","('Ц', 0.647)","('О', 0.636)","('Н', 0.623)","('Ө', 0.605)","('П', 0.594)","('Я', 0.592)","('Ч', 0.58)","('Й', 0.568)","('Ң', 0.564)","('Ф', 0.555)","('Щ', 0.555)","('Ж', 0.541)","('М', 0.537)","('Х', 0.516)","('Ш', 0.515)","('И', 0.504)","('Ұ', 0.495)","('В', 0.491)","('Ы', 0.491)","('Р', 0.483)","('Ү', 0.472)","('К', 0.461)","('Б', 0.46)","('Ё', 0.457)","('Т', 0.454)","('Ю', 0.448)","('Е', 0.447)","('Қ', 0.446)","('Ъ', 0.439)","('С', 0.432)","('Һ', 0.432)","('І', 0.431)","('У', 0.407)","('Ғ', 0.396)","('Г', 0.386)","('Ь', 0.374)"
"('Е', 1.0)","('Ү', 0.987)","('Ё', 0.976)","('Т', 0.974)","('Р', 0.959)","('Ұ', 0.95)","('С', 0.949)","('Г', 0.934)","('Қ', 0.92)","('Щ', 0.907)","('К', 0.9)","('Б', 0.889)","('Н', 0.854)","('Ю', 0.851)","('Ғ', 0.846)","('О', 0.845)","('Ң', 0.841)","('П', 0.838)","('У', 0.837)","('Һ', 0.836)","('Я', 0.821)","('Ө', 0.82)","('Ц', 0.818)","('Х', 0.805)","('Ъ', 0.785)","('І', 0.777)","('М', 0.772)","('Ы', 0.77)","('Ч', 0.758)","('В', 0.754)","('Ф', 0.753)","('Й', 0.745)","('И', 0.726)","('Ж', 0.725)","('Д', 0.717)","('Ь', 0.717)","('Л', 0.707)","('Ш', 0.676)","('Ә', 0.674)","('З', 0.669)","('А', 0.655)","('Э', 0.616)"
"('Г', 1.0)","('У', 0.915)","('Ғ', 0.841)","('Т', 0.774)","('С', 0.757)","('Е', 0.686)","('Ү', 0.675)","('Р', 0.669)","('І', 0.66)","('Ё', 0.624)","('Ұ', 0.592)","('Қ', 0.55)","('Щ', 0.538)","('Н', 0.531)","('О', 0.53)","('Ң', 0.527)","('Ц', 0.519)","('Б', 0.517)","('К', 0.517)","('П', 0.505)","('Һ', 0.505)","('Ө', 0.499)","('Я', 0.498)","('Ю', 0.493)","('Х', 0.492)","('Ч', 0.489)","('Ъ', 0.484)","('Л', 0.473)","('Д', 0.47)","('Ы', 0.469)","('З', 0.468)","('М', 0.464)","('Й', 0.462)","('Ф', 0.46)","('В', 0.449)","('Ж', 0.449)","('И', 0.446)","('А', 0.436)","('Ә', 0.436)","('Ь', 0.436)","('Ш', 0.42)","('Э', 0.405)"
"('Е', 1.0)","('С', 0.982)","('Ғ', 0.974)","('І', 0.96)","('Р', 0.958)","('Ұ', 0.952)","('Г', 0.931)","('Ё', 0.911)","('Щ', 0.91)","('Қ', 0.893)","('Ң', 0.874)","('Н', 0.869)","('О', 0.863)","('Ц', 0.844)","('У', 0.829)","('П', 0.803)","('Ү', 0.794)","('Т', 0.792)","('Я', 0.79)","('К', 0.787)","('Б', 0.785)","('Ө', 0.782)","('Х', 0.77)","('Ч', 0.766)","('Һ', 0.736)","('Ю', 0.716)","('Ъ', 0.712)","('Л', 0.704)","('Д', 0.701)","('М', 0.696)","('Ф', 0.684)","('Ы', 0.681)","('Й', 0.68)","('З', 0.675)","('В', 0.662)","('Ж', 0.656)","('И', 0.644)","('А', 0.629)","('Ә', 0.629)","('Ш', 0.604)","('Ь', 0.599)","('Э', 0.58)"
"('Н', 1.0)","('Ө', 0.971)","('Щ', 0.965)","('Ц', 0.963)","('О', 0.962)","('П', 0.956)","('Ч', 0.88)","('М', 0.868)","('Д', 0.841)","('Ң', 0.839)","('Р', 0.829)","('В', 0.827)","('И', 0.824)","('Ұ', 0.823)","('Й', 0.815)","('Ф', 0.815)","('Х', 0.805)","('Л', 0.793)","('Ү', 0.772)","('Қ', 0.768)","('І', 0.763)","('Я', 0.761)","('К', 0.754)","('Ю', 0.752)","('Ә', 0.751)","('Ж', 0.745)","('Т', 0.742)","('Б', 0.737)","('Ы', 0.727)","('Э', 0.727)","('Ш', 0.723)","('Ё', 0.711)","('У', 0.698)","('Ғ', 0.694)","('Е', 0.693)","('З', 0.693)","('А', 0.689)","('Һ', 0.663)","('Ъ', 0.663)","('С', 0.66)","('Г', 0.647)","('Ь', 0.576)"
